gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
Male,Urban,High School,9.63,1,1,3562.0,More than 1,A,Gold,60336
Male,Urban,High School,5.87,1,8,9790.0,1,A,Gold,30420
Male,Urban,Bachelor,,1,8,9670.0,More than 1,A,Platinum,350436
Female,Urban,High School,7.59,0,6,19930.0,More than 1,B,Gold,178404
Male,Urban,Others,1.03,1,4,,1,A,Gold,30816
Female,Urban,High School,8.52,1,4,3724.0,More than 1,A,Platinum,64308
Male,Urban,Bachelor,2.58,1,7,3815.0,More than 1,B,Gold,120300
Male,Urban,High School,90.93,1,5,5342.0,More than 1,A,Platinum,175680
Male,Rural,Bachelor,6.91,1,5,0.0,1,A,Platinum,51660
Male,Urban,Bachelor,4.26,1,4,,More than 1,B,Platinum,68832
Male,Urban,High School,3.53,1,7,4289.0,More than 1,C,Platinum,174036
Male,Urban,Bachelor,7.25,1,6,6242.0,More than 1,A,Platinum,73440
Male,Urban,High School,18.45,0,0,12907.0,More than 1,B,Platinum,335556
Male,Urban,High School,25.99,1,1,6520.0,1,A,Gold,70704
Male,Urban,High School,9.1,0,8,,More than 1,B,Silver,98196
Female,Urban,High School,7.02,0,1,,More than 1,,Silver,69792
Male,Urban,High School,,1,5,4080.0,1,,Gold,51384
Male,Urban,High School,5.08,1,4,3642.0,More than 1,B,Platinum,69972
Male,Urban,Bachelor,91.47,1,4,2905.0,More than 1,B,Silver,66408
Male,Urban,Bachelor,7.87,0,0,6590.0,More than 1,A,Platinum,58380
Female,Rural,High School,6.7,1,1,0.0,1,A,Gold,33024
Female,Urban,Bachelor,4.12,1,3,5557.0,More than 1,A,Platinum,162660
Male,Urban,Bachelor,5.91,1,1,4224.0,More than 1,B,Silver,74196
Male,Urban,High School,3.08,1,2,7055.0,1,A,Platinum,59628
Male,Urban,High School,9.5,0,8,5834.0,1,A,Silver,52860
Male,Urban,High School,5.24,0,8,4409.0,More than 1,B,Platinum,270744
Female,Rural,High School,90.4,0,6,0.0,More than 1,A,Platinum,73860
Male,Rural,Bachelor,19.78,1,6,2700.0,1,B,Silver,70224
Female,Rural,Bachelor,7.0,1,7,0.0,More than 1,B,Platinum,47928
Female,Urban,Bachelor,9.52,1,7,0.0,1,B,Silver,38832
Male,Urban,Bachelor,9.22,0,2,5677.0,More than 1,A,Platinum,111840
Male,Rural,High School,7.75,0,2,9224.0,More than 1,A,Platinum,97044
Male,Urban,High School,2.06,0,2,6623.0,1,A,Platinum,36468
Male,Rural,Bachelor,2.21,0,8,0.0,More than 1,B,Platinum,63300
Female,Urban,High School,,1,7,6296.0,1,A,Gold,122712
Male,Urban,High School,4.48,0,8,15056.0,More than 1,C,Silver,239724
Female,,High School,6.91,1,4,6032.0,1,A,Silver,99588
Female,Urban,High School,3.17,1,6,3699.0,More than 1,A,Platinum,73200
Male,Rural,High School,25.49,0,2,0.0,More than 1,A,Silver,173844
Female,Urban,Bachelor,83.76,0,6,8508.0,More than 1,A,Platinum,68388
Male,,Bachelor,33.1,0,5,7153.0,1,A,Platinum,217920
Female,Urban,High School,4.18,1,8,,More than 1,A,Platinum,70248
Male,Urban,Bachelor,5.68,1,8,5629.0,More than 1,B,Gold,517632
Male,Urban,Others,37.07,0,6,3952.0,1,A,Gold,63156
Male,Urban,High School,3.35,1,2,0.0,1,B,Silver,31740
Male,Urban,Bachelor,8.25,1,7,4120.0,1,A,Platinum,58164
Male,Urban,Bachelor,9.79,1,6,2092.0,More than 1,A,Gold,62628
Female,Urban,Bachelor,5.65,1,8,3967.0,More than 1,A,Gold,108288
Male,Urban,High School,7.69,1,6,6398.0,More than 1,A,Platinum,362376
Male,Urban,Others,7.77,1,5,3490.0,1,,Silver,38496
Male,Urban,High School,48.94,1,8,9243.0,More than 1,A,Platinum,339012
Male,Urban,High School,8.34,0,2,6194.0,More than 1,A,Silver,36768
Female,Urban,Bachelor,5.98,1,6,8326.0,More than 1,C,Gold,105204
Male,Urban,Bachelor,8.95,1,8,7238.0,More than 1,A,Platinum,55296
Female,Urban,Bachelor,50.78,0,6,6294.0,More than 1,A,Gold,58836
Male,Urban,Bachelor,2.81,0,7,4375.0,More than 1,B,Platinum,63696
Female,Rural,High School,73.14,1,6,2349.0,1,A,Platinum,34236
Male,Urban,Bachelor,6.51,1,1,2969.0,More than 1,A,Platinum,100536
Male,Urban,High School,,1,8,5330.0,1,A,Platinum,65184
Male,Rural,High School,9.34,1,4,2112.0,More than 1,B,Platinum,63036
Female,Rural,High School,8.71,1,2,0.0,1,B,Gold,36216
Female,,Others,11.24,1,6,,1,A,Platinum,55680
Male,Urban,High School,2.72,1,1,3553.0,More than 1,A,Silver,63552
Male,Urban,High School,2.85,0,5,,More than 1,B,Platinum,58728
Female,Rural,Bachelor,7.53,1,5,2235.0,More than 1,B,Silver,63528
Male,Urban,Bachelor,4.3,1,3,6765.0,More than 1,B,Silver,64824
Female,Rural,Bachelor,61.32,0,7,0.0,More than 1,A,Gold,108840
Male,Urban,Bachelor,7.01,1,1,9908.0,1,,Gold,47076
Female,Urban,Others,8.18,1,6,5306.0,More than 1,C,Silver,70032
Female,Urban,Bachelor,6.17,0,7,2532.0,More than 1,,Platinum,60864
Male,Urban,Bachelor,5.17,0,7,4337.0,1,A,Silver,32880
Female,Urban,High School,2.52,0,2,3915.0,More than 1,A,Platinum,63708
Male,Urban,Bachelor,4.32,1,7,3482.0,More than 1,A,Platinum,197280
Male,Rural,High School,2.28,0,7,2022.0,1,A,Platinum,30336
Male,Urban,High School,2.97,1,7,5324.0,1,B,Silver,33876
Female,Urban,Bachelor,9.95,0,1,,1,A,Platinum,300204
Male,Urban,Bachelor,,1,3,0.0,More than 1,A,Gold,151416
Male,Urban,High School,4.15,0,7,11049.0,More than 1,,Platinum,437448
Male,Urban,Bachelor,8.07,1,7,0.0,1,B,Gold,36108
Female,Urban,Bachelor,6.96,1,6,3553.0,More than 1,A,Silver,72480
Male,Rural,Bachelor,9.81,1,8,2904.0,1,A,Platinum,200460
Female,Urban,High School,6.03,1,4,2263.0,More than 1,B,Platinum,127236
Male,,High School,9.44,1,1,2879.0,1,A,Gold,58788
Female,Rural,Bachelor,6.3,1,6,2427.0,1,B,Silver,72888
Male,Urban,Bachelor,4.97,0,0,,More than 1,B,Platinum,63096
Male,Urban,High School,9.75,1,6,,1,C,Silver,33732
Male,Rural,Bachelor,50.54,0,8,0.0,More than 1,B,Platinum,61308
Female,Rural,High School,8.38,0,6,3218.0,More than 1,A,Platinum,53856
Female,Urban,High School,43.25,0,7,4252.0,More than 1,A,Platinum,63288
Female,,High School,8.75,1,4,2104.0,More than 1,,Platinum,94776
Female,Urban,High School,6.18,0,2,8280.0,More than 1,A,Gold,63672
Male,Urban,High School,,1,4,25507.0,More than 1,C,Silver,68256
Male,Urban,Bachelor,5.35,0,4,3312.0,1,A,Gold,54084
Male,Urban,High School,16.81,0,8,3982.0,More than 1,A,Gold,98832
Male,Urban,High School,5.09,0,3,3800.0,More than 1,A,Gold,108948
Female,Rural,Others,6.0,1,1,0.0,1,B,Platinum,30240
